Fecha,Hora,Origen,Destino,Clase,Precio,VueloID,Gate
2026-04-15,04:34,AMS,TYO,Turista,1000,329,G10
2026-04-29,00:59,SIN,TYO,Primera Clase,945,354,G20
2026-04-24,02:03,MAD,DFW,Turista,850,446,G12
2026-04-28,03:34,TYO,PEK,Primera Clase,675,747,G12
2026-04-30,09:28,DFW,ATL,Turista,200,231,G13
2026-04-18,17:52,PEK,AMS,Primera Clase,1215,183,G18
2026-05-06,07:41,DXB,PEK,Turista,700,240,G13
2026-04-16,04:30,LON,TYO,Primera Clase,1350,164,G12
2026-04-27,15:24,LON,CAN,Turista,950,693,G17
2026-04-29,01:02,IST,AMS,Primera Clase,608,416,G9
2026-04-26,19:24,PAR,SIN,Turista,950,861,G1
2026-04-17,01:48,PAR,DXB,Primera Clase,945,219,G20
2026-05-04,13:38,DXB,IST,Turista,400,982,G17
2026-05-04,14:00,CAN,PEK,Primera Clase,270,685,G15
2026-04-26,09:32,SIN,LON,Turista,900,817,G8
2026-04-21,19:37,AMS,DFW,Primera Clase,1080,840,G5
2026-05-07,03:29,CAN,DFW,Turista,1200,442,G3
2026-04-16,11:49,PAR,FRA,Primera Clase,9450,175,G4
2026-05-06,09:52,SIN,MAD,Turista,1000,498,G11
2026-05-01,20:51,ATL,SAO,Primera Clase,1215,518,G13
2026-04-20,03:36,ATL,MAD,Turista,800,557,G19
2026-04-15,10:33,PAR,MAD,Primera Clase,270,922,G14
2026-04-29,12:44,LAX,ATL,Turista,400,283,G6
2026-04-23,09:11,FRA,PEK,Primera Clase,1148,130,G19
2026-04-16,06:25,FRA,IST,Turista,350,461,G2
2026-05-07,06:17,FRA,PAR,Primera Clase,203,421,G9
2026-05-01,06:56,PAR,MAD,Turista,200,190,G12
2026-04-26,06:51,PAR,SIN,Primera Clase,1283,368,G15
2026-04-16,15:08,IST,SAO,Turista,1200,142,G1
2026-04-25,20:48,DFW,LAX,Primera Clase,405,717,G9
2026-04-29,20:02,LON,IST,Turista,400,335,G10
2026-04-26,12:02,SIN,PEK,Primera Clase,810,897,G17
2026-04-16,12:32,DXB,PAR,Turista,700,953,G18
2026-04-26,06:55,PEK,SAO,Primera Clase,2295,881,G6
2026-04-19,17:24,DFW,PAR,Turista,800,487,G17
2026-05-13,08:50,CAN,LAX,Primera Clase,1553,324,G7
2026-05-04,12:17,CAN,DFW,Turista,1200,976,G11
2026-05-04,12:38,PEK,DFW,Primera Clase,1553,709,G9
2026-04-17,16:24,PAR,AMS,Turista,180,157,G20
2026-04-29,19:44,PEK,SAO,Primera Clase,2295,568,G4
2026-04-16,09:22,PAR,LAX,Turista,850,782,G11
2026-04-16,20:49,ATL,MAD,Primera Clase,1080,275,G7
2026-04-28,19:57,FRA,SIN,Turista,900,640,G7
2026-04-23,21:35,CAN,AMS,Primera Clase,1215,879,G20
2026-04-23,23:16,LON,TYO,Turista,1000,439,G18
2026-04-29,07:18,DFW,PAR,Primera Clase,1080,120,G1
2026-05-13,23:06,DFW,PAR,Turista,800,756,G8
2026-04-25,17:49,LON,IST,Primera Clase,540,403,G5
2026-04-20,21:34,PEK,TYO,Turista,500,159,G11
2026-04-19,10:44,PAR,AMS,Primera Clase,243,560,G11
2026-04-23,01:52,LAX,FRA,Turista,900,956,G7
2026-04-20,07:50,PAR,DXB,Primera Clase,945,205,G15
2026-05-02,12:18,CAN,AMS,Turista,900,370,G11
2026-05-01,17:09,DFW,SAO,Primera Clase,1283,841,G8
2026-05-05,21:32,MAD,LAX,Turista,900,542,G9
2026-04-16,06:52,TYO,PEK,Primera Clase,675,885,G8
2026-05-02,14:55,DXB,LAX,Turista,1300,927,G3
2026-04-16,00:17,FRA,IST,Primera Clase,473,179,G10
2026-05-01,07:13,LAX,AMS,Turista,850,394,G11
2026-05-09,11:13,LON,AMS,Primera Clase,203,510,G17
2026-04-18,00:34,TYO,MAD,Turista,1100,520,G2
2026-04-15,21:01,PEK,MAD,Primera Clase,1283,462,G3
2026-04-17,08:38,CAN,LAX,Turista,1150,387,G1
2026-04-24,14:26,LON,MAD,Primera Clase,270,107,G18
2026-04-21,23:57,PAR,AMS,Turista,180,409,G2
2026-04-19,12:29,PAR,FRA,Primera Clase,9450,899,G15
2026-05-09,00:53,DXB,DFW,Turista,1200,413,G6
2026-04-20,13:30,CAN,LAX,Primera Clase,1553,346,G13
2026-04-22,19:38,PEK,LON,Turista,900,704,G3
2026-04-24,00:06,AMS,IST,Primera Clase,608,558,G20
2026-05-11,01:54,AMS,SIN,Turista,950,186,G13
2026-05-11,03:05,MAD,AMS,Primera Clase,270,855,G20
2026-05-01,16:48,PEK,DXB,Turista,700,982,G13
